macro,type,size,file,line
TIOCSETP,struct sgttyb,6,12.1src/sys/sys/ioctl_compat.h,80
TIOCSLTC,struct ltchars,6,12.1src/sys/sys/ioctl_compat.h,133
DVDIOCREADSTRUCTURE,struct dvd_struct,2060,12.1src/sys/sys/dvdio.h,110
DVDIOCREPORTKEY,struct dvd_authinfo,24,12.1src/sys/sys/dvdio.h,108
DVDIOCSENDKEY,struct dvd_authinfo,24,12.1src/sys/sys/dvdio.h,109
SNPSTTY,int,4,12.1src/sys/sys/snoop.h,31
EFIIOC_GET_TABLE,struct efi_get_table_ioc,20,12.1src/sys/sys/efiio.h,51
EFIIOC_GET_TIME,struct efi_tm,16,12.1src/sys/sys/efiio.h,52
EFIIOC_SET_TIME,struct efi_tm,16,12.1src/sys/sys/efiio.h,53
EFIIOC_VAR_GET,struct efi_var_ioc,36,12.1src/sys/sys/efiio.h,54
EFIIOC_VAR_NEXT,struct efi_var_ioc,36,12.1src/sys/sys/efiio.h,55
EFIIOC_VAR_SET,struct efi_var_ioc,36,12.1src/sys/sys/efiio.h,56
DEV_ATTACH,struct devreq,140,12.1src/sys/sys/bus.h,121
DEV_CLEAR_DRIVER,struct devreq,140,12.1src/sys/sys/bus.h,128
DEV_DELETE,struct devreq,140,12.1src/sys/sys/bus.h,130
DEV_DETACH,struct devreq,140,12.1src/sys/sys/bus.h,122
DEV_DISABLE,struct devreq,140,12.1src/sys/sys/bus.h,124
DEV_ENABLE,struct devreq,140,12.1src/sys/sys/bus.h,123
DEV_FREEZE,struct devreq,140,12.1src/sys/sys/bus.h,131
DEV_RESCAN,struct devreq,140,12.1src/sys/sys/bus.h,129
DEV_RESET,struct devreq,140,12.1src/sys/sys/bus.h,133
DEV_RESUME,struct devreq,140,12.1src/sys/sys/bus.h,126
DEV_SET_DRIVER,struct devreq,140,12.1src/sys/sys/bus.h,127
DEV_SUSPEND,struct devreq,140,12.1src/sys/sys/bus.h,125
DEV_THAW,struct devreq,140,12.1src/sys/sys/bus.h,132
AACIO_STATS,union aac_statrequest,8,12.1src/sys/sys/aac_ioctl.h,55
MEMRANGE_GET,struct mem_range_op,12,12.1src/sys/sys/memrange.h,45
MEMRANGE_SET,struct mem_range_op,12,12.1src/sys/sys/memrange.h,46
MTIOCERRSTAT,union mterrstat,256,12.1src/sys/sys/mtio.h,330
MTIOCEXTGET,struct mtextget,208,12.1src/sys/sys/mtio.h,342
MTIOCEXTLOCATE,struct mtlocate,92,12.1src/sys/sys/mtio.h,341
MTIOCGET,struct mtget,76,12.1src/sys/sys/mtio.h,316
MTIOCGETEOTMODEL,u_int32_t,4,12.1src/sys/sys/mtio.h,338
MTIOCHLOCATE,u_int32_t,4,12.1src/sys/sys/mtio.h,329
MTIOCPARAMGET,struct mtextget,208,12.1src/sys/sys/mtio.h,343
MTIOCPARAMSET,struct mtparamset,268,12.1src/sys/sys/mtio.h,344
MTIOCRBLIM,struct mtrblim,12,12.1src/sys/sys/mtio.h,340
MTIOCRDHPOS,u_int32_t,4,12.1src/sys/sys/mtio.h,327
MTIOCRDSPOS,u_int32_t,4,12.1src/sys/sys/mtio.h,326
