macro,type,size,file,line
VIDIOCGPICT,struct video_picture,14,12.1src/sys/contrib/v4l/videodev.h,259
VIDIOCGPLAYINFO,struct video_info,280,12.1src/sys/contrib/v4l/videodev.h,279
VIDIOCGTUNER,struct video_tuner,64,12.1src/sys/contrib/v4l/videodev.h,257
VIDIOCGUNIT,struct video_unit,20,12.1src/sys/contrib/v4l/videodev.h,274
VIDIOCGVBIFMT,struct vbi_format,32,12.1src/sys/contrib/v4l/videodev.h,281
VIDIOCGWIN,struct video_window,40,12.1src/sys/contrib/v4l/videodev.h,262
VIDIOCKEY,struct video_key,12,12.1src/sys/contrib/v4l/videodev.h,266
VIDIOCMCAPTURE,struct video_mmap,16,12.1src/sys/contrib/v4l/videodev.h,272
VIDIOCSAUDIO,struct video_audio,40,12.1src/sys/contrib/v4l/videodev.h,270
VIDIOCSCAPTURE,struct video_capture,20,12.1src/sys/contrib/v4l/videodev.h,276
VIDIOCSCHAN,struct video_channel,48,12.1src/sys/contrib/v4l/videodev.h,256
VIDIOCSFBUF,struct video_buffer,24,12.1src/sys/contrib/v4l/videodev.h,265
VIDIOCSFREQ,unsigned long,8,12.1src/sys/contrib/v4l/videodev.h,268
VIDIOCSMICROCODE,struct video_code,32,12.1src/sys/contrib/v4l/videodev.h,280
VIDIOCSPICT,struct video_picture,14,12.1src/sys/contrib/v4l/videodev.h,260
VIDIOCSPLAYMODE,struct video_play_mode,12,12.1src/sys/contrib/v4l/videodev.h,277
VIDIOCSTUNER,struct video_tuner,64,12.1src/sys/contrib/v4l/videodev.h,258
VIDIOCSVBIFMT,struct vbi_format,32,12.1src/sys/contrib/v4l/videodev.h,282
VIDIOCSWIN,struct video_window,40,12.1src/sys/contrib/v4l/videodev.h,263
VIDIOCSWRITEMODE,int,4,12.1src/sys/contrib/v4l/videodev.h,278
VIDIOCSYNC,int,4,12.1src/sys/contrib/v4l/videodev.h,271
VIDIOC_CROPCAP,struct v4l2_cropcap,44,12.1src/sys/contrib/v4l/videodev2.h,1711
VIDIOC_CROPCAP_OLD,struct v4l2_cropcap,44,12.1src/sys/contrib/v4l/videodev2.h,1765
VIDIOC_DBG_G_CHIP_IDENT,struct v4l2_dbg_chip_ident,44,12.1src/sys/contrib/v4l/videodev2.h,1744
VIDIOC_DBG_G_REGISTER,struct v4l2_dbg_register,56,12.1src/sys/contrib/v4l/videodev2.h,1740
VIDIOC_DBG_S_REGISTER,struct v4l2_dbg_register,56,12.1src/sys/contrib/v4l/videodev2.h,1739
VIDIOC_DQBUF,struct v4l2_buffer,88,12.1src/sys/contrib/v4l/videodev2.h,1683
VIDIOC_ENCODER_CMD,struct v4l2_encoder_cmd,40,12.1src/sys/contrib/v4l/videodev2.h,1731
VIDIOC_ENUMAUDIO,struct v4l2_audio,52,12.1src/sys/contrib/v4l/videodev2.h,1718
VIDIOC_ENUMAUDOUT,struct v4l2_audioout,52,12.1src/sys/contrib/v4l/videodev2.h,1719
VIDIOC_ENUMINPUT,struct v4l2_input,80,12.1src/sys/contrib/v4l/videodev2.h,1691
VIDIOC_ENUMOUTPUT,struct v4l2_output,72,12.1src/sys/contrib/v4l/videodev2.h,1704
VIDIOC_ENUMSTD,struct v4l2_standard,72,12.1src/sys/contrib/v4l/videodev2.h,1690
VIDIOC_ENUM_DV_PRESETS,struct v4l2_dv_enum_preset,64,12.1src/sys/contrib/v4l/videodev2.h,1748
VIDIOC_ENUM_FMT,struct v4l2_fmtdesc,64,12.1src/sys/contrib/v4l/videodev2.h,1674
VIDIOC_ENUM_FRAMEINTERVALS,struct v4l2_frmivalenum,52,12.1src/sys/contrib/v4l/videodev2.h,1729
VIDIOC_ENUM_FRAMESIZES,struct v4l2_frmsizeenum,44,12.1src/sys/contrib/v4l/videodev2.h,1728
VIDIOC_G_AUDIO,struct v4l2_audio,52,12.1src/sys/contrib/v4l/videodev2.h,1696
VIDIOC_G_AUDIO_OLD,struct v4l2_audio,52,12.1src/sys/contrib/v4l/videodev2.h,1763
VIDIOC_G_AUDOUT,struct v4l2_audioout,52,12.1src/sys/contrib/v4l/videodev2.h,1705
VIDIOC_G_AUDOUT_OLD,struct v4l2_audioout,52,12.1src/sys/contrib/v4l/videodev2.h,1764
VIDIOC_G_CROP,struct v4l2_crop,20,12.1src/sys/contrib/v4l/videodev2.h,1712
VIDIOC_G_CTRL,struct v4l2_control,8,12.1src/sys/contrib/v4l/videodev2.h,1692
VIDIOC_G_DV_PRESET,struct v4l2_dv_preset,20,12.1src/sys/contrib/v4l/videodev2.h,1750
VIDIOC_G_DV_TIMINGS,struct v4l2_dv_timings,132,12.1src/sys/contrib/v4l/videodev2.h,1753
VIDIOC_G_ENC_INDEX,struct v4l2_enc_idx,2072,12.1src/sys/contrib/v4l/videodev2.h,1730
VIDIOC_G_EXT_CTRLS,struct v4l2_ext_controls,32,12.1src/sys/contrib/v4l/videodev2.h,1724
VIDIOC_G_FBUF,struct v4l2_framebuffer,48,12.1src/sys/contrib/v4l/videodev2.h,1679
VIDIOC_G_FMT,struct v4l2_format,208,12.1src/sys/contrib/v4l/videodev2.h,1675
VIDIOC_G_FREQUENCY,struct v4l2_frequency,44,12.1src/sys/contrib/v4l/videodev2.h,1709
VIDIOC_G_INPUT,int,4,12.1src/sys/contrib/v4l/videodev2.h,1700
VIDIOC_G_JPEGCOMP,struct v4l2_jpegcompression,140,12.1src/sys/contrib/v4l/videodev2.h,1714
VIDIOC_G_MODULATOR,struct v4l2_modulator,68,12.1src/sys/contrib/v4l/videodev2.h,1707
VIDIOC_G_OUTPUT,int,4,12.1src/sys/contrib/v4l/videodev2.h,1702
VIDIOC_G_PARM,struct v4l2_streamparm,204,12.1src/sys/contrib/v4l/videodev2.h,1686
VIDIOC_G_PRIORITY,enum v4l2_priority,4,12.1src/sys/contrib/v4l/videodev2.h,1720
VIDIOC_G_SLICED_VBI_CAP,struct v4l2_sliced_vbi_cap,116,12.1src/sys/contrib/v4l/videodev2.h,1722
VIDIOC_G_STD,v4l2_std_id,8,12.1src/sys/contrib/v4l/videodev2.h,1688
VIDIOC_G_TUNER,struct v4l2_tuner,84,12.1src/sys/contrib/v4l/videodev2.h,1694
VIDIOC_OVERLAY,int,4,12.1src/sys/contrib/v4l/videodev2.h,1681
VIDIOC_OVERLAY_OLD,int,4,12.1src/sys/contrib/v4l/videodev2.h,1760
VIDIOC_QBUF,struct v4l2_buffer,88,12.1src/sys/contrib/v4l/videodev2.h,1682
VIDIOC_QUERYBUF,struct v4l2_buffer,88,12.1src/sys/contrib/v4l/videodev2.h,1678
VIDIOC_QUERYCAP,struct v4l2_capability,104,12.1src/sys/contrib/v4l/videodev2.h,1672
VIDIOC_QUERYCTRL,struct v4l2_queryctrl,68,12.1src/sys/contrib/v4l/videodev2.h,1698
VIDIOC_QUERYMENU,struct v4l2_querymenu,44,12.1src/sys/contrib/v4l/videodev2.h,1699
VIDIOC_QUERYSTD,v4l2_std_id,8,12.1src/sys/contrib/v4l/videodev2.h,1716
VIDIOC_QUERY_DV_PRESET,struct v4l2_dv_preset,20,12.1src/sys/contrib/v4l/videodev2.h,1751
VIDIOC_REQBUFS,struct v4l2_requestbuffers,20,12.1src/sys/contrib/v4l/videodev2.h,1677
VIDIOC_STREAMOFF,int,4,12.1src/sys/contrib/v4l/videodev2.h,1685
VIDIOC_STREAMON,int,4,12.1src/sys/contrib/v4l/videodev2.h,1684
VIDIOC_S_AUDIO,struct v4l2_audio,52,12.1src/sys/contrib/v4l/videodev2.h,1697
VIDIOC_S_AUDOUT,struct v4l2_audioout,52,12.1src/sys/contrib/v4l/videodev2.h,1706
VIDIOC_S_CROP,struct v4l2_crop,20,12.1src/sys/contrib/v4l/videodev2.h,1713
VIDIOC_S_CTRL,struct v4l2_control,8,12.1src/sys/contrib/v4l/videodev2.h,1693
VIDIOC_S_CTRL_OLD,struct v4l2_control,8,12.1src/sys/contrib/v4l/videodev2.h,1762
VIDIOC_S_DV_PRESET,struct v4l2_dv_preset,20,12.1src/sys/contrib/v4l/videodev2.h,1749
VIDIOC_S_DV_TIMINGS,struct v4l2_dv_timings,132,12.1src/sys/contrib/v4l/videodev2.h,1752
VIDIOC_S_EXT_CTRLS,struct v4l2_ext_controls,32,12.1src/sys/contrib/v4l/videodev2.h,1725
VIDIOC_S_FBUF,struct v4l2_framebuffer,48,12.1src/sys/contrib/v4l/videodev2.h,1680
VIDIOC_S_FMT,struct v4l2_format,208,12.1src/sys/contrib/v4l/videodev2.h,1676
VIDIOC_S_FREQUENCY,struct v4l2_frequency,44,12.1src/sys/contrib/v4l/videodev2.h,1710
VIDIOC_S_HW_FREQ_SEEK,struct v4l2_hw_freq_seek,48,12.1src/sys/contrib/v4l/videodev2.h,1747
VIDIOC_S_INPUT,int,4,12.1src/sys/contrib/v4l/videodev2.h,1701
VIDIOC_S_JPEGCOMP,struct v4l2_jpegcompression,140,12.1src/sys/contrib/v4l/videodev2.h,1715
VIDIOC_S_MODULATOR,struct v4l2_modulator,68,12.1src/sys/contrib/v4l/videodev2.h,1708
VIDIOC_S_OUTPUT,int,4,12.1src/sys/contrib/v4l/videodev2.h,1703
VIDIOC_S_PARM,struct v4l2_streamparm,204,12.1src/sys/contrib/v4l/videodev2.h,1687
VIDIOC_S_PARM_OLD,struct v4l2_streamparm,204,12.1src/sys/contrib/v4l/videodev2.h,1761
VIDIOC_S_PRIORITY,enum v4l2_priority,4,12.1src/sys/contrib/v4l/videodev2.h,1721
VIDIOC_S_STD,v4l2_std_id,8,12.1src/sys/contrib/v4l/videodev2.h,1689
VIDIOC_S_TUNER,struct v4l2_tuner,84,12.1src/sys/contrib/v4l/videodev2.h,1695
VIDIOC_TRY_ENCODER_CMD,struct v4l2_encoder_cmd,40,12.1src/sys/contrib/v4l/videodev2.h,1732
VIDIOC_TRY_EXT_CTRLS,struct v4l2_ext_controls,32,12.1src/sys/contrib/v4l/videodev2.h,1726
VIDIOC_TRY_FMT,struct v4l2_format,208,12.1src/sys/contrib/v4l/videodev2.h,1717
