macro,file,line,type,size_i386,size_amd64
SIOCLOOKUPFLUSH,sys/contrib/ipfilter/netinet/ip_lookup.h,26,struct iplookupflush,32,32
SIOCLOOKUPSTAT,sys/contrib/ipfilter/netinet/ip_lookup.h,24,struct iplookupop,36,48
SIOCLOOKUPSTATW,sys/contrib/ipfilter/netinet/ip_lookup.h,25,struct iplookupop,36,48
SIOCPROXY,sys/contrib/ipfilter/netinet/ip_proxy.h,26,struct ap_control,52,72
VIDIOCCAPTURE,sys/contrib/v4l/videodev.h,261,int,4,4
VIDIOCGAUDIO,sys/contrib/v4l/videodev.h,269,struct video_audio,40,40
VIDIOCGCAP,sys/contrib/v4l/videodev.h,254,struct video_capability,60,60
VIDIOCGCAPTURE,sys/contrib/v4l/videodev.h,275,struct video_capture,20,20
VIDIOCGCHAN,sys/contrib/v4l/videodev.h,255,struct video_channel,48,48
VIDIOCGFBUF,sys/contrib/v4l/videodev.h,264,struct video_buffer,20,24
VIDIOCGFREQ,sys/contrib/v4l/videodev.h,267,unsigned long,4,8
VIDIOCGMBUF,sys/contrib/v4l/videodev.h,273,struct video_mbuf,136,136
VIDIOCGPICT,sys/contrib/v4l/videodev.h,259,struct video_picture,14,14
VIDIOCGPLAYINFO,sys/contrib/v4l/videodev.h,279,struct video_info,280,280
VIDIOCGTUNER,sys/contrib/v4l/videodev.h,257,struct video_tuner,52,64
VIDIOCGUNIT,sys/contrib/v4l/videodev.h,274,struct video_unit,20,20
VIDIOCGVBIFMT,sys/contrib/v4l/videodev.h,281,struct vbi_format,32,32
VIDIOCGWIN,sys/contrib/v4l/videodev.h,262,struct video_window,32,40
VIDIOCKEY,sys/contrib/v4l/videodev.h,266,struct video_key,12,12
VIDIOCMCAPTURE,sys/contrib/v4l/videodev.h,272,struct video_mmap,16,16
VIDIOCSAUDIO,sys/contrib/v4l/videodev.h,270,struct video_audio,40,40
VIDIOCSCAPTURE,sys/contrib/v4l/videodev.h,276,struct video_capture,20,20
VIDIOCSCHAN,sys/contrib/v4l/videodev.h,256,struct video_channel,48,48
VIDIOCSFBUF,sys/contrib/v4l/videodev.h,265,struct video_buffer,20,24
VIDIOCSFREQ,sys/contrib/v4l/videodev.h,268,unsigned long,4,8
VIDIOCSMICROCODE,sys/contrib/v4l/videodev.h,280,struct video_code,24,32
VIDIOCSPICT,sys/contrib/v4l/videodev.h,260,struct video_picture,14,14
VIDIOCSPLAYMODE,sys/contrib/v4l/videodev.h,277,struct video_play_mode,12,12
VIDIOCSTUNER,sys/contrib/v4l/videodev.h,258,struct video_tuner,52,64
VIDIOCSVBIFMT,sys/contrib/v4l/videodev.h,282,struct vbi_format,32,32
VIDIOCSWIN,sys/contrib/v4l/videodev.h,263,struct video_window,32,40
VIDIOCSWRITEMODE,sys/contrib/v4l/videodev.h,278,int,4,4
VIDIOCSYNC,sys/contrib/v4l/videodev.h,271,int,4,4
VIDIOC_CROPCAP,sys/contrib/v4l/videodev2.h,1711,struct v4l2_cropcap,44,44
VIDIOC_CROPCAP_OLD,sys/contrib/v4l/videodev2.h,1765,struct v4l2_cropcap,44,44
VIDIOC_DBG_G_CHIP_IDENT,sys/contrib/v4l/videodev2.h,1744,struct v4l2_dbg_chip_ident,44,44
VIDIOC_DBG_G_REGISTER,sys/contrib/v4l/videodev2.h,1740,struct v4l2_dbg_register,56,56
VIDIOC_DBG_S_REGISTER,sys/contrib/v4l/videodev2.h,1739,struct v4l2_dbg_register,56,56
VIDIOC_DQBUF,sys/contrib/v4l/videodev2.h,1683,struct v4l2_buffer,68,88
VIDIOC_ENCODER_CMD,sys/contrib/v4l/videodev2.h,1731,struct v4l2_encoder_cmd,40,40
VIDIOC_ENUMAUDIO,sys/contrib/v4l/videodev2.h,1718,struct v4l2_audio,52,52
VIDIOC_ENUMAUDOUT,sys/contrib/v4l/videodev2.h,1719,struct v4l2_audioout,52,52
VIDIOC_ENUMINPUT,sys/contrib/v4l/videodev2.h,1691,struct v4l2_input,76,80
VIDIOC_ENUMOUTPUT,sys/contrib/v4l/videodev2.h,1704,struct v4l2_output,72,72
VIDIOC_ENUMSTD,sys/contrib/v4l/videodev2.h,1690,struct v4l2_standard,64,72
VIDIOC_ENUM_DV_PRESETS,sys/contrib/v4l/videodev2.h,1748,struct v4l2_dv_enum_preset,64,64
VIDIOC_ENUM_FMT,sys/contrib/v4l/videodev2.h,1674,struct v4l2_fmtdesc,64,64
VIDIOC_ENUM_FRAMEINTERVALS,sys/contrib/v4l/videodev2.h,1729,struct v4l2_frmivalenum,52,52
VIDIOC_ENUM_FRAMESIZES,sys/contrib/v4l/videodev2.h,1728,struct v4l2_frmsizeenum,44,44
VIDIOC_G_AUDIO,sys/contrib/v4l/videodev2.h,1696,struct v4l2_audio,52,52
VIDIOC_G_AUDIO_OLD,sys/contrib/v4l/videodev2.h,1763,struct v4l2_audio,52,52
VIDIOC_G_AUDOUT,sys/contrib/v4l/videodev2.h,1705,struct v4l2_audioout,52,52
VIDIOC_G_AUDOUT_OLD,sys/contrib/v4l/videodev2.h,1764,struct v4l2_audioout,52,52
VIDIOC_G_CROP,sys/contrib/v4l/videodev2.h,1712,struct v4l2_crop,20,20
VIDIOC_G_CTRL,sys/contrib/v4l/videodev2.h,1692,struct v4l2_control,8,8
VIDIOC_G_DV_PRESET,sys/contrib/v4l/videodev2.h,1750,struct v4l2_dv_preset,20,20
VIDIOC_G_DV_TIMINGS,sys/contrib/v4l/videodev2.h,1753,struct v4l2_dv_timings,132,132
VIDIOC_G_ENC_INDEX,sys/contrib/v4l/videodev2.h,1730,struct v4l2_enc_idx,2072,2072
VIDIOC_G_EXT_CTRLS,sys/contrib/v4l/videodev2.h,1724,struct v4l2_ext_controls,24,32
VIDIOC_G_FBUF,sys/contrib/v4l/videodev2.h,1679,struct v4l2_framebuffer,44,48
VIDIOC_G_FMT,sys/contrib/v4l/videodev2.h,1675,struct v4l2_format,204,208
VIDIOC_G_FREQUENCY,sys/contrib/v4l/videodev2.h,1709,struct v4l2_frequency,44,44
VIDIOC_G_INPUT,sys/contrib/v4l/videodev2.h,1700,int,4,4
VIDIOC_G_JPEGCOMP,sys/contrib/v4l/videodev2.h,1714,struct v4l2_jpegcompression,140,140
VIDIOC_G_MODULATOR,sys/contrib/v4l/videodev2.h,1707,struct v4l2_modulator,68,68
VIDIOC_G_OUTPUT,sys/contrib/v4l/videodev2.h,1702,int,4,4
VIDIOC_G_PARM,sys/contrib/v4l/videodev2.h,1686,struct v4l2_streamparm,204,204
