macro,file,line,type,size_i386,size_amd64
MTIOCEXTLOCATE,12.1src/sys/sys/mtio.h,341,struct mtlocate,92,96
MTIOCPARAMGET,12.1src/sys/sys/mtio.h,343,struct mtextget,208,216
MTIOCPARAMSET,12.1src/sys/sys/mtio.h,344,struct mtparamset,268,272
MTIOCSETLIST,12.1src/sys/sys/mtio.h,345,struct mtsetlist,12,16
CPUCTL_MSRCBIT,12.1src/sys/sys/cpuctl.h,60,cpuctl_msr_args_t,12,16
CPUCTL_MSRSBIT,12.1src/sys/sys/cpuctl.h,59,cpuctl_msr_args_t,12,16
CPUCTL_RDMSR,12.1src/sys/sys/cpuctl.h,55,cpuctl_msr_args_t,12,16
CPUCTL_UPDATE,12.1src/sys/sys/cpuctl.h,58,cpuctl_update_args_t,8,16
CPUCTL_WRMSR,12.1src/sys/sys/cpuctl.h,56,cpuctl_msr_args_t,12,16
PCIOCBARMMAP,12.1src/sys/sys/pciio.h,165,struct pci_bar_mmap,40,48
PCIOCGETCONF,12.1src/sys/sys/pciio.h,159,struct pci_conf_io,36,48
PCIOCLISTVPD,12.1src/sys/sys/pciio.h,164,struct pci_list_vpd_io,16,24
PPS_IOC_FETCH,12.1src/sys/sys/timepps.h,132,struct pps_fetch_args,48,88
PPS_IOC_FETCH_FFCOUNTER,12.1src/sys/sys/timepps.h,134,struct pps_fetch_ffc_args,64,104
PPS_IOC_GETPARAMS,12.1src/sys/sys/timepps.h,130,pps_params_t,32,56
PPS_IOC_SETPARAMS,12.1src/sys/sys/timepps.h,129,pps_params_t,32,56
MDIOCATTACH,12.1src/sys/sys/mdioctl.h,81,struct md_ioctl,436,448
MDIOCDETACH,12.1src/sys/sys/mdioctl.h,82,struct md_ioctl,436,448
MDIOCLIST,12.1src/sys/sys/mdioctl.h,84,struct md_ioctl,436,448
MDIOCQUERY,12.1src/sys/sys/mdioctl.h,83,struct md_ioctl,436,448
MDIOCRESIZE,12.1src/sys/sys/mdioctl.h,85,struct md_ioctl,436,448
ALT_READ_TG_MEM,12.1src/sys/sys/tiio.h,330,struct tg_mem,12,24
ALT_WRITE_TG_MEM,12.1src/sys/sys/tiio.h,331,struct tg_mem,12,24
TIIOCGETTRACE,12.1src/sys/sys/tiio.h,323,struct ti_trace_buf,16,24
CDRIOCSENDCUE,12.1src/sys/sys/cdrio.h,129,struct cdr_cuesheet,20,32
DIOCGATTR,12.1src/sys/sys/disk.h,142,struct diocgattr_arg,324,328
DIOCSKERNELDUMP,12.1src/sys/sys/disk.h,154,struct diocskerneldump_arg,76,80
DIOCZONECMD,12.1src/sys/sys/disk.h,144,struct disk_zone_args,108,128
PIOCSTATUS,12.1src/sys/sys/pioctl.h,61,struct procfs_status,20,32
PIOCWAIT,12.1src/sys/sys/pioctl.h,58,struct procfs_status,20,32
IOV_CONFIG,12.1src/sys/sys/iov.h,254,struct pci_iov_arg,8,16
IOV_GET_SCHEMA,12.1src/sys/sys/iov.h,256,struct pci_iov_schema,12,24
AIOGCAP,12.1src/sys/sys/soundcard.h,306,snd_capabilities,28,56
AIOGFMT,12.1src/sys/sys/soundcard.h,250,snd_chan_param,16,32
AIOSFMT,12.1src/sys/sys/soundcard.h,251,snd_chan_param,16,32
AIOSYNC,12.1src/sys/sys/soundcard.h,287,snd_sync_parm,8,16
SNDCTL_DSP_CURRENT_IPTR,12.1src/sys/sys/soundcard.h,1669,oss_count_t,140,144
SNDCTL_DSP_CURRENT_OPTR,12.1src/sys/sys/soundcard.h,1670,oss_count_t,140,144
SNDCTL_DSP_GETERROR,12.1src/sys/sys/soundcard.h,1597,audio_errinfo,104,112
SNDCTL_DSP_MAPINBUF,12.1src/sys/sys/soundcard.h,941,buffmem_desc,8,16
SNDCTL_DSP_MAPOUTBUF,12.1src/sys/sys/soundcard.h,942,buffmem_desc,8,16
SNDCTL_MIDI_INFO,12.1src/sys/sys/soundcard.h,328,struct midi_info,116,128
SNDCTL_PMGR_ACCESS,12.1src/sys/sys/soundcard.h,333,struct patmgr_info,4024,8040
SNDCTL_PMGR_IFACE,12.1src/sys/sys/soundcard.h,476,struct patmgr_info,4024,8040
SNDCTL_SYNTH_INFO,12.1src/sys/sys/soundcard.h,318,struct synth_info,140,152
FIODGNAME,12.1src/sys/sys/filio.h,60,struct fiodgname_arg,8,16
FBIOGCURSOR,12.1src/sys/sys/fbio.h,269,struct fbcursor,44,72
FBIOGETCMAP,12.1src/sys/sys/fbio.h,201,struct fbcmap,20,32
FBIOGETCMAPI,12.1src/sys/sys/fbio.h,330,struct fbcmap_i,28,40
FBIOGINFO,12.1src/sys/sys/fbio.h,187,struct fbinfo,24,32
FBIOGXINFO,12.1src/sys/sys/fbio.h,291,struct brd_info,16,24
